10,"※大項目","地域コード","地域識別コード","境域年次(2010)","境域年次(2000)","","人口　平成22年　(a)","人口　平成17年（組替） 2)","平成17年〜22年の人口増減数 2)","平成17年〜22年の人口増減率（％） 2)","面積（km2）　(b) 1)2)","人口密度"
48,"","01210","2","2010","","岩見沢市",90145,93677,-3532,-3.7704025535,481.10,187.4
49,"","01210","9","","2000","　　(旧 210 岩見沢市)",80722,83202,-2480,-2.9806975794,204.74,394.3
50,"","01210","9","","2000","　　(旧 421 北村)",3232,3618,-386,-10.6688778331,96.49,33.5
51,"","01210","9","","2000","　　(旧 422 栗沢町)",6191,6857,-666,-9.7127023480,179.87,34.4
52,"","01211","2","2010","2000","網走市",40998,42045,-1047,-2.4901890831,471.00,87.0
53,"","01212","2","2010","2000","留萌市",24457,26826,-2369,-8.8309848654,297.51,82.2
54,"","01213","2","2010","2000","苫小牧市",173320,172758,562,0.3253105500,561.48,308.7
55,"","01214","2","2010","2000","稚内市",39595,41592,-1997,-4.8014041162,760.89,52.0
56,"","01215","2","2010","2000","美唄市",26034,29083,-3049,-10.4837877798,277.61,93.8
57,"","01216","2","2010","2000","芦別市",16628,18899,-2271,-12.0165088100,865.02,19.2
58,"","01217","2","2010","2000","江別市",123722,125601,-1879,-1.4960071974,187.57,659.6
59,"","01218","2","2010","2000","赤平市",12637,14401,-1764,-12.2491493646,129.88,97.3
60,"","01219","2","2010","2000","紋別市",24750,26632,-1882,-7.0666866927,830.70,29.8
61,"","01220","2","2010","","士別市",21787,23411,-1624,-6.9369099996,1119.29,19.5
62,"","01220","9","","2000","　　(旧 220 士別市)",20240,21639,-1399,-6.4651786127,597.28,33.9
63,"","01220","9","","2000","　　(旧 466 朝日町)",1547,1772,-225,-12.6975169300,522.01,3.0
64,"","01221","2","2010","","名寄市",30591,31628,-1037,-3.2787403566,535.23,57.2
65,"","01221","9","","2000","　　(旧 221 名寄市)",26043,26590,-547,-2.0571643475,314.62,82.8
66,"","01221","9","","2000","　　(旧 467 風連町)",4548,5038,-490,-9.7260817785,220.61,20.6
67,"","01222","2","2010","2000","三笠市",10221,11927,-1706,-14.3036807244,302.64,33.8
68,"","01223","2","2010","2000","根室市",29201,31202,-2001,-6.4130504455,512.72,70.7
69,"","01224","2","2010","2000","千歳市",93604,91437,2167,2.3699377714,594.95,157.3
70,"","01225","2","2010","2000","滝川市",43170,45562,-2392,-5.2499890259,115.82,372.7
71,"","01226","2","2010","2000","砂川市",19056,20068,-1012,-5.0428542954,78.69,242.2
72,"","01227","2","2010","2000","歌志内市",4387,5221,-834,-15.9739513503,55.99,78.4
73,"","01228","2","2010","2000","深川市",23709,25838,-2129,-8.2398018422,529.23,44.8
74,"","01229","2","2010","2000","富良野市",24259,25076,-817,-3.2580953900,600.97,40.4
75,"","01230","2","2010","2000","登別市",51526,53135,-1609,-3.0281358803,212.11,242.9
76,"","01231","2","2010","2000","恵庭市",69384,67614,1770,2.6178010471,294.87,235.3
77,"","01233","2","2010","","伊達市",36278,37066,-788,-2.1259375169,444.28,81.7
78,"","01233","9","","2000","　　(旧 233 伊達市)",34745,35223,-478,-1.3570678250,170.25,204.1
79,"","01233","9","","2000","　　(旧 574 大滝村)",1533,1843,-310,-16.8204015193,274.03,5.6
80,"","01234","2","2010","2000","北広島市",60353,60677,-324,-0.5339749823,118.54,509.1
81,"","01235","2","2010","","石狩市",59449,60104,-655,-1.0897777186,721.86,82.4
82,"","01235","9","","2000","　　(旧 235 石狩市)",55577,55566,11,0.0197962783,117.85,471.6
83,"","01235","9","","2000","　　(旧 305 厚田村)",2217,2565,-348,-13.5672514620,292.84,7.6
84,"","01235","9","","2000","　　(旧 306 浜益村)",1655,1973,-318,-16.1175874303,311.15,5.3
85,"","01236","2","2010","","北斗市",48032,48056,-24,-0.0499417346,397.30,120.9
86,"","01236","9","","2000","　　(旧 335 上磯町)",37471,37258,213,0.5716893016,262.41,142.8
87,"","01236","9","","2000","　　(旧 336 大野町)",10561,10798,-237,-2.1948508983,134.88,78.3
88,"","01300","c","2010","2000","石狩振興局",22281,23719,-1438,-6.0626501960,500.95,44.5
89,"","01303","3","2010","2000","当別町",18766,19982,-1216,-6.0854769292,422.71,44.4
90,"","01304","3","2010","2000","新篠津村",3515,3737,-222,-5.9405940594,78.24,44.9
91,"","01330","c","2010","2000","渡島総合振興局",100648,107115,-6467,-6.0374364001,2861.24,35.2
92,"","01331","3","2010","2000","松前町",8748,10121,-1373,-13.5658531766,293.12,29.8
93,"","01332","3","2010","2000","福島町",5114,5897,-783,-13.2779379345,187.25,27.3
94,"","01333","3","2010","2000","知内町",5074,5447,-373,-6.8478061318,196.67,25.8
95,"","01334","3","2010","2000","木古内町",5341,6024,-683,-11.3379814077,221.89,24.1
96,"","01337","3","2010","2000","七飯町",28463,28424,39,0.1372079932,216.61,131.4
97,"","01343","3","2010","2000","鹿部町",4767,4919,-152,-3.0900589551,110.61,43.1
98,"","01345","3","2010","","森町",17859,19149,-1290,-6.7366442112,368.27,48.5
99,"","01345","9","","2000","　　(旧 344 砂原町)",4543,4842,-299,-6.1751342420,56.85,79.9
100,"","01345","9","","2000","　　(旧 345 森町)",13316,14307,-991,-6.9266792479,311.42,42.8
101,"","01346","3","2010","","八雲町",18896,20131,-1235,-6.1348169490,955.98,19.8
102,"","01346","9","","2000","　　(旧 346 八雲町)",15998,16704,-706,-4.2265325670,735.60,21.7
103,"","01346","9","","2000","　　(旧 365 熊石町)",2898,3427,-529,-15.4362416107,220.31,13.2
104,"","01347","3","2010","2000","長万部町",6386,7003,-617,-8.8105097815,310.84,20.5
105,"","01360","c","2010","2000","檜山振興局",42058,46996,-4938,-10.5072772151,2629.96,16.0
106,"","01361","3","2010","2000","江差町",9004,10131,-1127,-11.1242720363,109.59,82.2
107,"","01362","3","2010","2000","上ノ国町",5428,6417,-989,-15.4121863799,547.60,9.9
108,"","01363","3","2010","2000","厚沢部町",4409,4775,-366,-7.6649214660,460.42,9.6
109,"","01364","3","2010","2000","乙部町",4408,4816,-408,-8.4717607973,162.56,27.1
110,"","01367","3","2010","2000","奥尻町",3033,3643,-610,-16.7444413945,142.98,21.2
111,"","01370","3","2010","2000","今金町",6186,6466,-280,-4.3303433344,568.14,10.9
112,"","01371","3","2010","","せたな町",9590,10748,-1158,-10.7740975065,638.67,15.0
113,"","01371","9","","2000","　　(旧 366 大成町)",1966,2386,-420,-17.6026823135,133.90,14.7
114,"","01371","9","","2000","　　(旧 368 瀬棚町)",2225,2587,-362,-13.9930421337,125.62,17.7
115,"","01371","9","","2000","　　(旧 369 北檜山町)",5399,5775,-376,-6.5108225108,379.03,14.2
116,"","01390","c","2010","2000","後志総合振興局",101012,107905,-6893,-6.3880265048,4062.53,24.9
117,"","01391","3","2010","2000","島牧村",1781,1996,-215,-10.7715430862,437.26,4.1
118,"","01392","3","2010","2000","寿都町",3443,3744,-301,-8.0395299145,95.37,36.1
119,"","01393","3","2010","2000","黒松内町",3250,3457,-207,-5.9878507376,345.47,9.4
120,"","01394","3","2010","2000","蘭越町",5292,5802,-510,-8.7900723888,449.68,11.8
121,"","01395","3","2010","2000","ニセコ町",4823,4669,154,3.2983508246,197.13,24.5
122,"","01396","3","2010","2000","真狩村",2189,2354,-165,-7.0093457944,114.43,19.1
123,"","01397","3","2010","2000","留寿都村",2034,2165,-131,-6.0508083141,119.92,17.0
124,"","01398","3","2010","2000","喜茂別町",2490,2707,-217,-8.0162541559,189.51,13.1
125,"","01399","3","2010","2000","京極町",3811,3583,228,6.3633826402,231.61,16.5
126,"","01400","3","2010","2000","倶知安町",15568,16176,-608,-3.7586547972,261.24,59.6
127,"","01401","3","2010","2000","共和町",6428,7112,-684,-9.6175478065,304.96,21.1
128,"","01402","3","2010","2000","岩内町",14451,15744,-1293,-8.2126524390,70.63,204.6
129,"","01403","3","2010","2000","泊村",1883,2185,-302,-13.8215102975,82.35,22.9
130,"","01404","3","2010","2000","神恵内村",1122,1319,-197,-14.9355572403,147.71,7.6
131,"","01405","3","2010","2000","積丹町",2516,2860,-344,-12.0279720280,238.21,10.6
132,"","01406","3","2010","2000","古平町",3611,4021,-410,-10.1964685402,188.41,19.2
133,"","01407","3","2010","2000","仁木町",3800,3967,-167,-4.2097302748,167.93,22.6
134,"","01408","3","2010","2000","余市町",21258,22734,-1476,-6.4924782264,140.60,151.2
135,"","01409","3","2010","2000","赤井川村",1262,1310,-48,-3.6641221374,280.11,4.5
136,"","01420","c","2010","2000","空知総合振興局",79345,85965,-6620,-7.7008084686,2192.01,36.2
137,"","01423","3","2010","2000","南幌町",8778,9564,-786,-8.2183186951,81.49,107.7
138,"","01424","3","2010","2000","奈井江町",6194,6836,-642,-9.3914569924,88.05,70.3
139,"","01425","3","2010","2000","上砂川町",4086,4770,-684,-14.3396226415,39.91,102.4
140,"","01427","3","2010","2000","由仁町",5896,6477,-581,-8.9702022541,133.86,44.0
141,"","01428","3","2010","2000","長沼町",11691,12401,-710,-5.7253447303,168.36,69.4
142,"","01429","3","2010","2000","栗山町",13340,14352,-1012,-7.0512820513,203.84,65.4
143,"","01430","3","2010","2000","月形町",4859,4785,74,1.5464994775,151.05,32.2
144,"","01431","3","2010","2000","浦臼町",2206,2417,-211,-8.7298303682,101.08,21.8
145,"","01432","3","2010","2000","新十津川町",7249,7684,-435,-5.6611140031,495.62,14.6
146,"","01433","3","2010","2000","妹背牛町",3462,3943,-481,-12.1988333756,48.55,71.3
147,"","01434","3","2010","2000","秩父別町",2730,3003,-273,-9.0909090909,47.26,57.8
148,"","01436","3","2010","2000","雨竜町",3049,3316,-267,-8.0518697226,190.91,16.0
149,"","01437","3","2010","2000","北竜町",2193,2376,-183,-7.7020202020,158.82,13.8
150,"","01438","3","2010","2000","沼田町",3612,4041,-429,-10.6161841128,283.21,12.8
151,"","01450","c","2010","2000","上川総合振興局",96633,102313,-5680,-5.5515916843,7616.11,12.7
152,"","01452","3","2010","2000","鷹栖町",7345,7261,84,1.1568654455,139.44,52.7
153,"","01453","3","2010","2000","東神楽町",9292,9194,98,1.0659125517,68.64,135.4
154,"","01454","3","2010","2000","当麻町",7087,7473,-386,-5.1652616085,204.95,34.6
155,"","01455","3","2010","2000","比布町",4042,4340,-298,-6.8663594470,87.29,46.3
156,"","01456","3","2010","2000","愛別町",3328,3739,-411,-10.9922439155,249.71,13.3
157,"","01457","3","2010","2000","上川町",4532,5176,-644,-12.4420401855,1049.24,4.3
158,"","01458","3","2010","2000","東川町",7859,7701,158,2.0516815998,247.06,31.8
159,"","01459","3","2010","2000","美瑛町",10956,11628,-672,-5.7791537668,677.16,16.2
160,"","01460","3","2010","2000","上富良野町",11545,12352,-807,-6.5333549223,237.18,48.7
161,"","01461","3","2010","2000","中富良野町",5477,5707,-230,-4.0301384265,108.70,50.4
162,"","01462","3","2010","2000","南富良野町",2814,2947,-133,-4.5130641330,665.52,4.2
163,"","01463","3","2010","2000","占冠村",1394,1819,-425,-23.3644859813,571.31,2.4
164,"","01464","3","2010","2000","和寒町",3832,4238,-406,-9.5799905616,224.83,17.0
165,"","01465","3","2010","2000","剣淵町",3565,3952,-387,-9.7925101215,131.20,27.2
166,"","01468","3","2010","2000","下川町",3775,4146,-371,-8.9483839846,644.20,5.9
167,"","01469","3","2010","2000","美深町",5178,5512,-334,-6.0595065312,672.14,7.7
168,"","01470","3","2010","2000","音威子府村",995,1070,-75,-7.0093457944,275.64,3.6
169,"","01471","3","2010","2000","中川町",1907,2106,-199,-9.4491927825,594.87,3.2
170,"","01472","3","2010","","幌加内町",1710,1952,-242,-12.3975409836,767.03,2.2
171,"","01472","9","","2000","　　(旧 439 幌加内町)",1710,1952,-242,-12.3975409836,767.03,2.2
172,"","01480","c","2010","2000","留萌振興局",28648,31884,-3236,-10.1492911805,3148.26,9.1
173,"","01481","3","2010","2000","増毛町",5078,5708,-630,-11.0371408549,369.68,13.7
174,"","01482","3","2010","2000","小平町",3717,4272,-555,-12.9915730337,627.31,5.9
175,"","01483","3","2010","2000","苫前町",3656,4202,-546,-12.9938124703,454.53,8.0
176,"","01484","3","2010","2000","羽幌町",7964,8740,-776,-8.8787185355,472.53,16.9
177,"","01485","3","2010","2000","初山別村",1369,1511,-142,-9.3977498345,280.04,4.9
178,"","01486","3","2010","2000","遠別町",3084,3421,-337,-9.8509207834,590.86,5.2
179,"","01487","3","2010","2000","天塩町",3780,4030,-250,-6.2034739454,353.31,10.7
180,"","01510","c","2010","2000","宗谷総合振興局",33852,36860,-3008,-8.1606077048,3864.24,8.8
181,"","01511","3","2010","2000","猿払村",2825,2940,-115,-3.9115646259,590.00,4.8
182,"","01512","3","2010","2000","浜頓別町",4168,4582,-414,-9.0353557399,401.56,10.4
183,"","01513","3","2010","2000","中頓別町",1974,2289,-315,-13.7614678899,398.55,5.0
184,"","01514","3","2010","","枝幸町",9125,9815,-690,-7.0300560367,1115.68,8.2
185,"","01514","9","","2000","　　(旧 514 枝幸町)",7152,7534,-382,-5.0703477568,509.13,14.0
186,"","01514","9","","2000","　　(旧 515 歌登町)",1973,2281,-308,-13.5028496274,606.51,3.3
187,"","01516","3","2010","2000","豊富町",4378,4850,-472,-9.7319587629,520.67,8.4
188,"","01517","3","2010","2000","礼文町",3078,3410,-332,-9.7360703812,81.33,37.8
189,"","01518","3","2010","2000","利尻町",2590,2951,-361,-12.2331413080,76.49,33.9
190,"","01519","3","2010","2000","利尻富士町",3037,3239,-202,-6.2364927447,105.69,28.7
191,"","01520","3","2010","","幌延町",2677,2784,-107,-3.8433908046,574.27,4.7
192,"","01520","9","","2000","　　(旧 488 幌延町)",2677,2784,-107,-3.8433908046,574.52,4.7
193,"","01540","c","2010","2000","オホーツク総合振興局",118572,126807,-8235,-6.4941209870,7961.36,14.9
194,"","01543","3","2010","2000","美幌町",21575,22819,-1244,-5.4515973531,438.36,49.2
195,"","01544","3","2010","2000","津別町",5646,6222,-576,-9.2574734812,716.60,7.9
196,"","01545","3","2010","2000","斜里町",13045,13431,-386,-2.8739483285,737.01,17.7
197,"","01546","3","2010","2000","清里町",4551,5025,-474,-9.4328358209,402.73,11.3
198,"","01547","3","2010","2000","小清水町",5358,5753,-395,-6.8659829654,287.04,18.7
199,"","01549","3","2010","2000","訓子府町",5435,5981,-546,-9.1289082093,190.89,28.5
200,"","01550","3","2010","2000","置戸町",3428,3699,-271,-7.3263044066,527.54,6.5
201,"","01552","3","2010","2000","佐呂間町",5892,6393,-501,-7.8366963867,404.99,14.5
202,"","01555","3","2010","","遠軽町",22265,23648,-1383,-5.8482746955,1332.32,16.7
203,"","01555","9","","2000","　　(旧 554 生田原町)",2204,2518,-314,-12.4702144559,269.36,8.2
204,"","01555","9","","2000","　　(旧 555 遠軽町)",17446,17994,-548,-3.0454595976,209.87,83.1
205,"","01555","9","","2000","　　(旧 556 丸瀬布町)",1714,2002,-288,-14.3856143856,510.13,3.4
206,"","01555","9","","2000","　　(旧 557 白滝村)",901,1134,-233,-20.5467372134,342.96,2.6
207,"","01559","3","2010","","湧別町",10041,10758,-717,-6.6648075851,505.74,19.9
208,"","01559","9","","2000","　　(旧 558 上湧別町)",5427,5841,-414,-7.0878274268,161.39,33.6
209,"","01559","9","","2000","　　(旧 559 湧別町)",4614,4917,-303,-6.1622940818,344.34,13.4
210,"","01560","3","2010","2000","滝上町",3028,3366,-338,-10.0415923945,766.89,3.9
211,"","01561","3","2010","2000","興部町",4301,4589,-288,-6.2758770974,362.45,11.9
212,"","01562","3","2010","2000","西興部村",1135,1224,-89,-7.2712418301,308.12,3.7
213,"","01563","3","2010","2000","雄武町",4939,5507,-568,-10.3141456328,637.06,7.8
214,"","01564","3","2010","","大空町",7933,8392,-459,-5.4694947569,343.62,23.1
215,"","01564","9","","2000","　　(旧 541 東藻琴村)",2442,2677,-235,-8.7784833769,184.38,13.2
216,"","01564","9","","2000","　　(旧 542 女満別町)",5491,5715,-224,-3.9195100612,159.24,34.5
217,"","01570","c","2010","2000","胆振総合振興局",60630,65308,-4678,-7.1629815643,2399.48,25.3
218,"","01571","3","2010","2000","豊浦町",4528,4771,-243,-5.0932718508,233.54,19.4
219,"","01575","3","2010","2000","壮瞥町",3232,3473,-241,-6.9392456090,205.04,15.8
220,"","01578","3","2010","2000","白老町",19376,20748,-1372,-6.6126855601,425.75,45.5
221,"","01581","3","2010","2000","厚真町",4890,5240,-350,-6.6793893130,404.56,12.1
222,"","01584","3","2010","","洞爺湖町",10132,11343,-1211,-10.6761879573,180.54,56.1
223,"","01584","9","","2000","　　(旧 572 虻田町)",8312,9189,-877,-9.5440200239,66.85,124.3
224,"","01584","9","","2000","　　(旧 573 洞爺村)",1820,2154,-334,-15.5060352832,113.69,16.0
225,"","01585","3","2010","","安平町",8726,9131,-405,-4.4354397109,237.14,36.8
226,"","01585","9","","2000","　　(旧 579 早来町)",5015,5225,-210,-4.0191387560,154.61,32.4
227,"","01585","9","","2000","　　(旧 580 追分町)",3711,3906,-195,-4.9923195084,82.52,45.0
228,"","01586","3","2010","","むかわ町",9746,10602,-856,-8.0739483116,712.91,13.7
229,"","01586","9","","2000","　　(旧 582 鵡川町)",6373,6765,-392,-5.7945306726,166.43,38.3
230,"","01586","9","","2000","　　(旧 583 穂別町)",3373,3837,-464,-12.0927808183,546.48,6.2
231,"","01600","c","2010","2000","日高振興局",75321,81407,-6086,-7.4760155761,4811.97,15.7
232,"","01601","3","2010","","日高町",13615,14730,-1115,-7.5695858792,992.67,13.7
233,"","01601","9","","2000","　　(旧 601 日高町)",1798,2095,-297,-14.1766109785,563.95,3.2
234,"","01601","9","","2000","　　(旧 603 門別町)",11817,12635,-818,-6.4740799367,428.73,27.6
235,"","01602","3","2010","2000","平取町",5596,6173,-577,-9.3471569739,743.16,7.5
236,"","01604","3","2010","2000","新冠町",5775,6034,-259,-4.2923433875,585.88,9.9
237,"","01607","3","2010","2000","浦河町",14389,15698,-1309,-8.3386418652,694.25,20.7
238,"","01608","3","2010","2000","様似町",5114,5711,-597,-10.4535107687,364.33,14.0
239,"","01609","3","2010","2000","えりも町",5413,5796,-383,-6.6080055210,283.93,19.1
240,"","01610","3","2010","","新ひだか町",25419,27265,-1846,-6.7705849991,1147.75,22.1
241,"","01610","9","","2000","　　(旧 605 静内町)",20865,22467,-1602,-7.1304580051,801.50,26.0
242,"","01610","9","","2000","　　(旧 606 三石町)",4554,4798,-244,-5.0854522718,346.22,13.2
243,"","01630","c","2010","2000","十勝総合振興局",180540,183566,-3026,-1.6484534173,10212.30,17.7
244,"","01631","3","2010","2000","音更町",45085,42452,2633,6.2022990672,466.09,96.7
245,"","01632","3","2010","2000","士幌町",6416,6755,-339,-5.0185048113,259.13,24.8
246,"","01633","3","2010","2000","上士幌町",5080,5229,-149,-2.8494932109,694.09,7.3
247,"","01634","3","2010","2000","鹿追町",5702,5876,-174,-2.9611980939,402.86,14.2
248,"","01635","3","2010","2000","新得町",6653,7243,-590,-8.1457959409,1063.79,6.3
249,"","01636","3","2010","2000","清水町",9961,10464,-503,-4.8069571865,402.18,24.8
250,"","01637","3","2010","2000","芽室町",18905,18300,605,3.3060109290,513.91,36.8
251,"","01638","3","2010","2000","中札内村",4006,3983,23,0.5774541803,292.69,13.7
252,"","01639","3","2010","2000","更別村",3391,3326,65,1.9542994588,176.45,19.2
253,"","01641","3","2010","2000","大樹町",5977,6407,-430,-6.7114093960,816.38,7.3
254,"","01642","3","2010","2000","広尾町",7881,8325,-444,-5.3333333333,596.16,13.2
255,"","01643","3","2010","","幕別町",26547,26868,-321,-1.1947297901,478.00,55.5
256,"","01643","9","","2000","　　(旧 640 忠類村)",1618,1785,-167,-9.3557422969,137.54,11.8
257,"","01643","9","","2000","　　(旧 643 幕別町)",24929,25083,-154,-0.6139616473,340.46,73.2
258,"","01644","3","2010","2000","池田町",7527,8193,-666,-8.1288905163,371.91,20.2
259,"","01645","3","2010","2000","豊頃町",3394,3732,-338,-9.0568060021,536.52,6.3
260,"","01646","3","2010","2000","本別町",8275,9072,-797,-8.7852733686,391.99,21.1
261,"","01647","3","2010","2000","足寄町",7630,8317,-687,-8.2601899723,1408.09,5.4
262,"","01648","3","2010","2000","陸別町",2650,2956,-306,-10.3518267930,608.81,4.4
263,"","01649","3","2010","2000","浦幌町",5460,6068,-608,-10.0197758734,729.64,7.5
264,"","01660","c","2010","2000","釧路総合振興局",66151,71413,-5262,-7.3684063126,4634.64,14.3
265,"","01661","3","2010","2000","釧路町",20526,21855,-1329,-6.0809883322,252.60,81.3
266,"","01662","3","2010","2000","厚岸町",10630,11525,-895,-7.7657266811,739.07,14.4
267,"","01663","3","2010","2000","浜中町",6511,7005,-494,-7.0521056388,423.44,15.4
268,"","01664","3","2010","2000","標茶町",8285,8936,-651,-7.2851387645,1099.41,7.5
269,"","01665","3","2010","2000","弟子屈町",8278,9023,-745,-8.2566773800,774.53,10.7
270,"","01667","3","2010","2000","鶴居村",2627,2672,-45,-1.6841317365,571.84,4.6
271,"","01668","3","2010","2000","白糠町",9294,10397,-1103,-10.6088294700,773.75,12.0
272,"","01690","c","2010","2000","根室振興局",51368,52855,-1487,-2.8133572983,7963.78,17.0
273,"","01691","3","2010","2000","別海町",15855,16460,-605,-3.6755771567,1320.23,12.0
274,"","01692","3","2010","2000","中標津町",23982,23792,190,0.7985877606,684.98,35.0
275,"","01693","3","2010","2000","標津町",5646,6063,-417,-6.8777832756,624.49,9.0
276,"","01694","3","2010","2000","羅臼町",5885,6540,-655,-10.0152905199,397.88,14.8
277,"","02000","a","2010","2000","青森県",1373339,1436657,-63318,-4.4073150376,9644.54,142.4
278,"","02001","b","2010","2000","青森県 市部",1054602,1096028,-41426,-3.7796479652,4584.79,230.0
279,"","02002","b","2010","2000","青森県 郡部",318737,340629,-21892,-6.4269337021,5059.75,63.0
280,"","02201","2","2010","","青森市",299520,311386,-11866,-3.8107043990,824.54,363.3
281,"","02201","9","","2000","　　(旧 201 青森市)",280366,290896,-10530,-3.6198503933,692.39,404.9
282,"","02201","9","","2000","　　(旧 364 浪岡町)",19154,20490,-1336,-6.5202537823,132.13,145.0
283,"","02202","2","2010","","弘前市",183473,189043,-5570,-2.9464195977,524.12,350.1
284,"","02202","9","","2000","　　(旧 202 弘前市)",168539,173221,-4682,-2.7029055369,273.81,615.5
285,"","02202","9","","2000","　　(旧 341 岩木町)",11422,11982,-560,-4.6736771824,146.25,78.1
286,"","02202","9","","2000","　　(旧 342 相馬村)",3512,3840,-328,-8.5416666667,103.54,33.9
287,"","02203","2","2010","","八戸市",237615,244700,-7085,-2.8953821005,305.40,778.0
288,"","02203","9","","2000","　　(旧 203 八戸市)",231737,238428,-6691,-2.8062979180,213.97,1083.0
289,"","02203","9","","2000","　　(旧 448 南郷村)",5878,6272,-394,-6.2818877551,91.13,64.5
290,"","02204","2","2010","2000","黒石市",36132,38455,-2323,-6.0408269406,216.96,166.5
291,"","02205","2","2010","","五所川原市",58421,62181,-3760,-6.0468631897,404.56,144.4
292,"","02205","9","","2000","　　(旧 205 五所川原市)",46164,48744,-2580,-5.2929591334,166.86,276.7
293,"","02205","9","","2000","　　(旧 382 金木町)",9912,10797,-885,-8.1967213115,125.97,78.7
294,"","02205","9","","2000","　　(旧 385 市浦村)",2345,2640,-295,-11.1742424242,111.75,21.0
295,"","02206","2","2010","","十和田市",66110,68359,-2249,-3.2899837622,725.67,91.1
296,"","02206","9","","2000","　　(旧 206 十和田市)",61226,62736,-1510,-2.4069115022,316.79,193.3
297,"","02206","9","","2000","　　(旧 404 十和田湖町)",4884,5623,-739,-13.1424506491,371.81,13.1
298,"","02207","2","2010","2000","三沢市",41258,42425,-1167,-2.7507365940,120.09,343.6
299,"","02208","2","2010","","むつ市",61066,64052,-2986,-4.6618372572,863.79,70.7
300,"","02208","9","","2000","　　(旧 208 むつ市)",47116,48237,-1121,-2.3239422020,245.88,191.6
